user,text
MelonVenom,Happy new year Joe biden
TheKetherX,"Prediction 3: Joe Biden will be Removed from the Office. 
#Welcome2023"
CalClark67,@JoeBiden If @POTUS @JoeBiden does anything worthwhile in the new year it will be an improvement
pnnbreaking,"Absolute proof @joebiden @potus is a fascist pig, as is the @CDCDirector  and @US_FDA.  The moment you, as the government, demanded only your ""reality"" be spoken, you crossed the line into Fascim. https://t.co/mE2QdAxirv"
o0jimtube0o,@not_onions @JoeBiden what planet are you living on? I know it isnt this one lolol
jfscott2426,@JoeBiden https://t.co/o29V0dBe8h
GregBertwell,"@hrkbenowen Nancy pelosi, Chuck Schumer, Joe Biden"
mobamo0714,@JoeBiden https://t.co/jERieMdigr
johnnnamdiokor1,@Hon_Olanrewaju0 @MBuhari @elonmusk @MarkZukerberg @cnnbrk @AlJazeera @MobilePunch @BBCBreaking @cenbank @UN @JoeBiden @WorldBank @_AfricanUnion Let the money be disbursed this week to save most people in Nigeria from commiting suicide.
jacksonsh53,@falconsinala @JoeBiden bro thinks every u.s citizen is a diabetic straight out of the womb
joeQ84149044,@ProudElephantUS Joe Biden
Michael5033cnc,AMC SQUEEZE: LAST DAYS OF THE SHORTS https://t.co/embgMjiszj via @YouTube this is why we are here! This why we stay! This is why we buy! This is why we hold! #AMC #AMCSTOCK #AMCNEVERLEAVING #AMCAPES #APES #SEC #HODL @GaryGensler @Citadel @CEOAdam   @JoeBiden https://t.co/6MxHTbDGxL
Jamie28513325,@P_McCulloughMD @MalcolmOutLoud I wonder how many shots Joe Biden really took.
EnthalpyDelta,"@thehill @RepDavidValadao See @SenWarren @ewarren, a proLevel con. @JoeBiden, proLevel storyTeller of lies and fantasy.

#NativeAmerican #indian @benshapiro #mao #media"
HunterNJoeBidet,"@JoeBiden It would have been $25 for ALL DIABETICS
#TrumpDidItBetter

https://t.co/g1zE8VZvOc

#BidenFamilySyndicate"
BushPosting,@indyvoter1993 @RedBeansNRice2 @POTUS Enjoy a 2nd term of Joe Biden as he beats the forces of MAGA semi-fascism once again 🇺🇸 https://t.co/HTkjunJ9ma
MikeAmanek,@JoeBiden You’re joking. Right ?
garyhowey5,@BarbaraComstock Those were not the only lies told on the debate stage let’s start with the 51 intel officials who said hunters lap top was Russian disinformation or I never met with hunters business partners joe Biden has not spoken the truth on a lot of issues just ask cornpop
AveryRe73452012,"@middleageriot “We’ll, son of a bitch, he fired the prosecutor going after my son” -Joe Biden as VP"
kroosismoo,"Veo mucho rey emerito, kanye y joe biden en las necroporras tb"
