,User,Tweet
0,AshB_np,@cmprachanda Prime Minister Prachanda लेख्ने कि?! Are you a comrade and PM of communists only? Better change the handle name to “Prime Minister Prachanda”.
1,RohitKu56762491,"Nitish Kumar makes veiled attack on RSS, PM Modi; says talks are all around about 'new father of modern India' Nitish vs BJP: Bihar Chief Minister Nitish Kumar, on Saturday, made a veiled attack on the Rashtriya Swayamsevak Sangh (RSS) and Prime Minister Narendra Modi.... ""F… https://t.co/H7KFUcFa5r"
2,intranautt,"@Mollyploofkins You know, I felt like that during Reagan administration.
Enter Liz Truss as England's PM and Liz Truss resigning as Prime Minister after 7 weeks.
https://t.co/K4hnTIUwKa"
3,Anthony58340236,@StormySturgeon Don’t care. It’s only ever a Prime Minister that looks after lower England (London). There has never been one in the past and never will be a U.K. PM that has the best interests of the entire U.K.
4,Petra13941582,"@DavidGHFrost We, the electorate WANT Boris BACK! He alone is our Prime Minister as we chose him.  The Tories will NEVER be forgiven for removing our elected PM.  The witch hunt was created by the very Tories in no. 10 &amp; 11.  Unforgivable.  UKIP was formidable in 2015, watch Reform."
5,Dalec1Dale,"Can I just go ahead and Identify as the Prime Minister of Canada ?
Wouldn’t all the bleeding heart woke libs have to address me as the PM and let me do things as if I’m PM. I think this is how it works right ?"
6,RohitKu56762491,"Nitish Kumar makes veiled attack on RSS, PM Modi; says talks are all around about 'new father of modern India' Nitish vs BJP: Bihar Chief Minister Nitish Kumar, on Saturday, made a veiled attack on the Rashtriya Swayamsevak Sangh (RSS) and Prime Minister Narendra Modi.... ""F… https://t.co/LmznVcLJUE"
7,quadcoin18,@Concern70732755 The whole system has to be renewed. We need some very smart people here now to change this present system or these governments that do nothing but lie to their people. The PM is still telling us that the vaccine works? Is this guy a murderer or Prime Minister of Canada?
8,IamAnishStha,@PM_nepal_ Happy Mew Year 2023 Mr. Prime Minister 🤣🤣
9,ConParchment,"2015 when Canada's greatest Prime Minister won governing authority form this guy's government, Canada's poverty rate was 14.5%. Currently Canada's poverty rate is 8.1%. In the same period Canada's greatest PM created 4.36 times more millionaires than all of Canada's PMs combined. https://t.co/2uLHi4e4yr"
10,RohitKu56762491,"Nitish Kumar makes veiled attack on RSS, PM Modi; says talks are all around about 'new father of modern India' Nitish vs BJP: Bihar Chief Minister Nitish Kumar, on Saturday, made a veiled attack on the Rashtriya Swayamsevak Sangh (RSS) and Prime Minister Narendra Modi.... ""F… https://t.co/p8FrKlqvKY"
11,RGDancingMan,"@VaughanPappy @gordonpreece @PierrePoilievre Cons just cannot get their playback consistent. Poilievre seems to want PM Trudeau to dictate to the airline industry. Only a short while back, Cons. Backbencher Thomas ""implied in the House of Commons that Prime Minister Trudeau is a dictator""."
12,COBScotland,"The Prime Minister of Bangladesh H.E. Sheikh Hasina was welcomed by Foysol Choudhury MBE MSP at The Scottish Parliament as part of her trip to Scotland for COP26.

#Bangladesh 🇧🇩 #PM #SheikhHasina #FoysolChoudhury #MSP #ScottishParliament 🏴󠁧󠁢󠁳󠁣󠁴󠁿 https://t.co/PRBhyAuJN5"
13,Brexit365,"I’m ‘sad’ about Rishi Sunak being Prime Minister - and I bet my sadness is bigger than his sadness. 
However - neither sadness will change anything - only action will do that -  and he’s the bleedin’ PM."
14,Maxlondinium,"@MetroUK A vile, vile woman who weaponised a fake anti-semitism smear to prevent a real anti racist politician from becoming Prime Minister. God forbid we have have a PM who stands up for Palestinian human rights eh, Rachel?"
15,derek_find,@Streettough You want an all singing dancing Celebrity as Prime Minister. I want plain old boring who I can leave to do his/her job. Many people want that after all the blonde haired lying Etonian fucked up. You can stick your X factor PM up your arse
16,ExSgtMike,"@brianlilley I am in no way support Putin. However, I don't believe we will ever get what is going on in the Ukraine. I have never heard of a Prime Minister, deputy PM, the PM's girlfriend who is the External Affairs Minister and PM son go to a theater of war for pictures. #cdnpoli"
17,RohitKu56762491,"Nitish Kumar makes veiled attack on RSS, PM Modi; says talks are all around about 'new father of modern India' Nitish vs BJP: Bihar Chief Minister Nitish Kumar, on Saturday, made a veiled attack on the Rashtriya Swayamsevak Sangh (RSS) and Prime Minister Narendra Modi.... ""F… https://t.co/uF8obEPkRP"
