user,text
TeddyNews1,"I love these #TrumpWitchHunts…they find him guilty! 
#WitchHunt 😂😂
#WitchHunt 😂😂
#WitchHunt 😂😂
Former President Donald Trump's company is found guilty of criminal tax fraud https://t.co/ebBwDpM3QL"
randlight,"https://t.co/8czapnuOKP Donald Trump’s tax returns show the former president received income from more than a dozen countries during his time in office, highlighting a string of potential conflicts of interest."
Msgtpowell,"@DonaldJTrumpJr No matter how you feel about Donald Trump, he was right.  The swamp is deep."
DonDeVil_DCLXVI,"@MrMonsta99 @ModestMama_ Ice Cube exclaiming he’d never have dinner with the president, but wants to talk to Donald Trump about Black people. Who the fuck would do what a rapper tells them to do when they don’t even listen to their parents? These guys can’t be taken seriously."
CharlesDiluzio,"@Sonia_art2 Donald Trump is a traitor to our country and every citizen, whether they realize it or not."
_garykline,"@TheOathBear No, the real reason Donald Trump has been under persistent harassment... is because... he's a crook. He has committed so many crimes, the DOJ is struggling to balance the rap sheet and figure out which to prosecute first. My bet? STEALING CLASSIFIED DOCUMENTS. https://t.co/VrwLUBSzC7"
ZkFranks,"⁦.⁦@jaredkushner⁩ Blocked ⁦@JoeBiden⁩ Access to #COVID-19 Planning: Former Aide
If there’s ever ANY doubt #DonaldTrump’s administration hated the #American people  https://t.co/IRcA6ffkpl"
Roy83861878,@tribelaw Lot of claims have been made nothing's been proved and I don't care what the January 6th committee says it was all a bunch of Democrats to live in an alternate world apparently people just like you Donald Trump was the greatest president we've had in my lifetime I'm your age
SharnWhite,Donald Trump and Hillary Clinton revealed to be distant cousins https://t.co/h3Dqto09HS
lfgpro,@Guide_en_Israel Une pensée pour M. Donald Trump qui a déplacé l’ambassade US à Jérusalem. Bonne année à tous!
Kevin58887036,"@TheValuesVoter @BarbaraComstock So, Donald Trump and his family didn't financially benefit from foreign governments base on his policies and political influence? Good to know every democrat lied about this for 6 years. But Biden and his family got wealthy through their corruption."
zella_mo,"This is pure BS every candidate has provided tax information, every President  has been audited. Donald Trump lied over and over again. The biggest mistake was Trump being elected priod. The biggest mistake Democrats made when they asked for Trump's taxes https://t.co/ItNe40NwmD"
RuebenUrias,"[Video] Offensive Donald Trump Playing Cards Could Be Banned
https://t.co/pck33LzSBd"
younakaEVH,Take this piece of shit down in 2023 America. I look forward to the day Donald Trump being hand-cuffed and seeing it with my own eyes. Happy New Year🎉Cheers🥂 https://t.co/kYGweWLrEE
retiredoldtexan,@LilyinIndiana @dom_lucre That’s what they said when Donald Trump said they spied on his campaign. It was a conspiracy theory. Now look at it.
proudCanadavet,"Business Insider: Congressman Beyer: Donald Trump 'abused his power' like Nixon.
https://t.co/OmA1qSuP1Q

via @GoogleNews"
MarnelvaMoo,@elizableu Donald Trump and Steve Mnuchin stole 500 billion from the US Treasury so I am glad you are calling them out on it.
proudCanadavet,"Sky News: Donald Trump warns of 'horrible things for so many people' after his tax returns are released.
https://t.co/lAOtt9bPZA

via @GoogleNews"
Aberknackle,@MaxTheMentalHe1 @seanfeucht I mean for the last 6 years you so called christians have worshipped sin. Donald Trump was nothing but a sinner who made a mockery of The Bible and christians
agbowo_uche,@BryanDawsonUSA God bless president Donald trump
groupchat_bot,nadi teabags donald trump's bum
Alonsogaarcia_,"NECROPORRA 2023
- Kanye West
- Esteban Ocon
- Michael Schumacher
- Amancio Ortega
- Enrique Pastor
- Donald Trump
- Juan Carlos I
- Hermanos Tate
- Kareem Abdul-Jabbar
- Helmut Marko
- Morgan Freeman"
badpersonbot,"It is not that Rex Tillerson aggressively cherishes his wife's hair, it's that Donald Trump rudely punches ant kingdoms during choir."
DavidDawatks,@ericareport You know what's funny all you people are sitting there trying to make Donald Trump not be president again what's going to happen when Rhonda Santa's becomes president and makes it Donald Trump his number two
DumDeeDah,"@DaddyFiles @GeraldoRivera “I don’t mind releasing. I’m under a routine audit, and it’ll be released.”–Donald Trump  : now they’re released, he doesn’t mind 😁😁😁"
Wackylew,@nobsfud @Wrathtank_avax @discoiinfernos @nativ_truth @iamILLNOIZE @s04p_ @DeansEpoch @LopezKanapi @cNFTfART @jkeartieco @Cryptoknightenj @_kevin_io @ChilledCardano @DonaldTrump Yo! Deffo come check yummi out! Or at least come to the discord or the website! We'd love to tell you more 🥳 also happy new year! https://t.co/VQP3jczfJ3
GreenGr07468679,Thomas Sowell On Donald Trump’s Claim Of Lowest Black Unemployment! #sho... https://t.co/F63DLf6TaC via @YouTube
randomtrump1,Random Trump https://t.co/YSZvCChvWE - #randomtrump #trump #donaldtrump #giphy #gif #gifs https://t.co/lHDIzIWI8D
IndyVisualist,"@t6_realestate @thevivafrei Donald Trump stated he would release them after the endless 20 plus year audit.  He never promised to release them.

Pelosi by her own standard should release hers for the last 20 years."
lukyspookytuki,@Jajavitoo Yo tomando merca con Donald trump
bautista_grillo,@Jajavitoo Cantando Luis Miguel con Donald Trump
Momof4Cats4,"@JoyceWhiteVance I can top that!!!! Donald Trump is permitted to have within his possession for over 1 1/2 years top secret information, putting our nation in jeopardy.  Yet https://t.co/ygHc8BWrPb"
shrubbinatorbot,NEW INVENTION! 'The Athletic Donald Trump' is a ball car for $22
LopezKanapi,@_kevin_io @Cryptoknightenj @nobsfud @Wrathtank_avax @discoiinfernos @nativ_truth @iamILLNOIZE @s04p_ @DeansEpoch @cNFTfART @jkeartieco @ChilledCardano @DonaldTrump https://t.co/H9MQ81BWYn
MTBlakley,Barbara Walters' Resurfaced Interview With Donald Trump Has Everyone Saying The Same Thing https://t.co/5Z1IPhrXQW
bernierpqot,"2PCS Donald Trump 2024 Car Magnet Bumper Sticker for 47th Presidential Election Day Celebration Parades Event (2024) NIIOZEL

https://t.co/FP4Ejcg5J2 https://t.co/jdHjhFr6cG"
falconoticias,"Donald Trump asked Jared Kushner if he could trademark the phrase 'Rigged Election,' January 6 interview transcript shows via /r/politics https://t.co/ZszXKoYp9v"
LiddleSavages,"#RememberWhen: Donald Trump golfed while the World Health Organization was warning the world of a very serious respiratory virus in China. 

#COVID19"
unsc1325,@rickyricksmusic Donald Trump's EEG
HmFood4Thought,"@dogebonkin @lexfridman @VitalikButerin @GretaThunberg @Cobratate @Liv_Boeree What normalizes something?

Did news organization normalize Donald Trump by covering him?

There seems to be a lot of 'prescribing' going on without a clear idea of what causes 'fame, influence, culture' to begin with

That is what this discussion is about, trying to control that"
TexanGalCindy,@ProudElephantUS Donald Trump
WaltWade62,@JoeBiden Thank you for doing exactly what Donald Trump was trying to do before he got stopped!
1147_001,"Amazon
Donald Trump Gold Coin, Gold Plated Collectable Coin and Case Included, 45th President, Certificate of Authenticity Official
 https://t.co/Frka86M6r5"
markymark757,Donald Trump has ALWAYS squandered everything he's inherited.
dbruce617,"@ACTBrigitte A year into his term, Joe Biden entered the ranking in the second quartile, at No. 19 out of 45. Among recent presidents, George H. W. Bush, Bill Clinton and Barack Obama moved up in the rankings, while George W. Bush and Donald Trump moved down near bottom,"
a_hunte1,"@SarahisCensored @OmarRiverosays No, Donald Trump lied and people died."
BonfireWisdom,"@MightyGHog @ksorbs Also, apparently general Kellogg was a witness that Donald Trump requested additional security on January 6 also

https://t.co/9toleM2Kuy"
zmangirl1,"@PapiTrumpo So true Tucker. Whatever you think about Donald Trump, he got the job done and did it well. Boy do I miss him."
Tankerboom10,@RonFilipkowski I think you have a man crush on Donald Trump Jr.
cpalimeno,Worst thing that ever happened to the US was donald trump becoming President. Shame on the people who voted for him. It speaks volumes about their character.
richard10365,@Richard68842170 @GOP Donald Trump set the bar for what it takes to get removed from office.
JacobSaldaa4,@CNN The way you sent Wesley Snipes to prison for tax invasion well you could do the same thing with Donald Trump
RonSupportsYou,"""Could you imagine anything more depressing than spending New Year’s Eve at Mar-a-Lago?""

Donald Trump would be even more depressed if he spent New Year’s Eve where he belongs: in prison."
kenyadad12,"What intelligent person living on the East Coast didn't know Donald Trump was a fraud?
LMFAO"
FrankaRussojr2,"@Evyrvrock1 So coming out of Covid we should’ve had continued growth but Biden’s policies destroyed that. I noticed you didn’t show 19 18 or 17… because if you did, you would see just how amazing the economy was under Donald Trump. Qtr -1 qtr 2 in 2020 we shrunk because of coronavirus"
sherrylynnjacks,Do you still support Donald Trump?
Hotwheelz9987,"@NickAdamsinUSA https://t.co/bPZbbd9vUk
The Joker has paid more taxes than Donald Trump
Think about that.
@MarkHamill"
lavineltcins,"Read ""The Biggest Threat to America Isn’t Donald Trump or MAGA"" on SmartNews: https://t.co/IhoGwG3czg #SmartNews"
suarez_emma,Huge Line for Donald Trump Restaurant Trump Grill #NewsBreak https://t.co/aSx929vEPu
AdrianJJohnson2,"@HeyJackson18 @LemeritusPrime @RepStefanik Donald Trump?
Lol
Biden is a verifiable racist and you support racists and pedophiles 
Make sure you 👇stay.... https://t.co/uMDiCSeu6C"
inlandmunson,"@TwitchyTeam If Donald Trump helps the Democrats, the Democrats should leave him alone!"
theilldadayaho3,"@NickAdamsinUSA For the last time, 
Donald Trump ISN'T GOD"
GerryMaine,"@TKresist @itsJeffTiedrich When the elder Trump dies his new worth was about $300 Million.
Whatever was left after inheritance taxes was split three ways with his brother and sister.
Donald Trump had a net worth of over $1 Billion before the  inheritance."
MarshallLocke,"I don't have a crystal ball, but pols who thirst for power, prominence, and position like @EliseStefanik does, willing to dispense with her long-held principles to embrace a figure like Donald Trump, don't succeed or flourish in the long run.
https://t.co/pCetsdQFWO"
jeffkayserdbdr1,"@SenRickScott How about someone with a Chinese bank account like, say, Donald Trump?  Should we trust him?"
randomtrump1,Random Trump https://t.co/e4NRgN0ZW1 - #randomtrump #trump #donaldtrump #giphy #gif #gifs https://t.co/qkAjQZMa7F
PaulAnuschat,"Before I knows it, I miracles sprout new big toe. Word get around Sizzler fast. Donald Trump offers to make me main subject of youtube educational show! I accidentallies fills my kidney stone into furniture dolly.
 #bigtoe #DonaldTrump"
Bronco823,@JoJoFromJerz My answer to this is I’ll just actually majorly celebrate😃😃🎉🎉from in Australia🇦🇺🇦🇺if Donald Trump Could actually possibly be on his way to prison in 2023😃😃🎉🎉!!!!
WstCstPatriot,"@PoliticalBlade RINO'S won't back Trump as he's bad for their New World Order. If they're backing DeSantis, we'll not vote for him, we'll do to him what was done to Romney in 2012!! Write in Donald Trump and if Dems win, it will be on the head's of those who vote for DeSantis."
BStormee,@BehizyTweets RIGHT ON PRESIDENT DONALD TRUMP
LAURAVA19407607,Trump's taxes show Donald Trump gave $0.00 to charity in his final year in office https://t.co/LkATt1E2sD via @Yahoo For more reason we need to lock him up. He has been hiding his money. He is a con man.
BrandonABurns,@thecroakerqueen Me when Donald Trump finally goes to jail: https://t.co/BEflzIyoLA
celebheadlinesb,evil genius Lil Uzi Vert oiled Donald Trump on top of Mars
Connie96815868,"@Caturi315 @ToddRee59114917 @FoxNews In 2017, Donald Trump paid $1 million in foreign taxes and $750 in US taxes.

What’s “America First” about that?"
Connie96815868,"@randyboone747 @FoxNews In 2017, Donald Trump paid $1 million in foreign taxes and $750 in US taxes.

What’s “America First” about that?"
JrBridgedale,"Also read: Greene Takes Aim at Boebert, Calling Her Childish and Mocking Her Re-election Efforts

Defending Trump While Going After ""The Left""
Georgia's Taylor Greene continued accusing the democrats while defending former POTUS Donald Trump. She wrote: Dr. Rachel Levine says he"
Noticimpacto,"🇺🇲 | Estados Unidos: se hacen públicas las declaraciones de impuestos de Donald Trump
Las declaraciones de impuestos del expresidente Donald Trump fueron publicadas el viernes por un comité de la Cámara de Representantes de Estados Unidos después de una larga batalla legal."
_kevin_io,@cNFTfART @LopezKanapi @Cryptoknightenj @nobsfud @Wrathtank_avax @discoiinfernos @nativ_truth @iamILLNOIZE @s04p_ @DeansEpoch @jkeartieco @ChilledCardano @DonaldTrump Resourceful af tbh
wenwar69,@mrs_friendly @elonmusk Elon Musk is a business genius rivaled only by Donald Trump.  Books will be written about these two.
tlctrust,Because they are on them and Donald Trump is not a client.
MaCat7650,"@cpboae @BarbaraComstock If I remember correctly, Donald Trump said he was going to fix the tax loopholes and that he was the only one who could. What a sham he is. I mute the TV every time he's on. I can't even stand the sound of his voice anymore."
dphitzer,"@PaulWoods007 Without Donald Trump would you have anything to talk about?  🙄

That's a cult.

I pity Howard Stern.  He's just another deluded cultist who drank so much kool-aid that he's afraid to go outside."
multydawg,"I know now that Donald Trump is a total idiot, he actually got poorer in government service unlike any other other government official either Democrat or Republican. This shows just how corrupt he must really be."
scout3032,@Trublood4life It proves that Donald Trump is in his head all the time. LOL
